"Country","Date","RR","GP","P","TS","W","R"
"Honduras",2020-02-15,4.33333333333333,4.75,4.5,3.16666666666667,1.66666666666667,-0.25
"Honduras",2021-08-05,-5.58333333333333,24.5833333333333,-7.41666666666667,-5.41666666666667,-14,-3.25
"Croatia",2020-02-15,13.2222222222222,4,43.1111111111111,18.3333333333333,2,-1.66666666666667
"Croatia",2021-08-05,7.57142857142857,12.4285714285714,278,28.5714285714286,-69.7142857142857,12.7142857142857
"Haiti",2020-02-15,-5.66666666666667,-1,-5.66666666666667,-6.33333333333333,0.666666666666667,1.66666666666667
"Haiti",2021-08-05,10.3333333333333,4,-6,-0.333333333333333,-23.3333333333333,3.66666666666667
"Hungary",2020-02-15,16.2222222222222,6.94444444444444,52.9444444444444,16.4444444444444,4.22222222222222,-2
"Hungary",2021-08-05,25.9090909090909,30.0909090909091,91.2727272727273,-3.18181818181818,-30.2727272727273,4.45454545454545
"Indonesia",2020-02-15,-0.970588235294118,-1.29411764705882,-3.58823529411765,-1.02941176470588,5.70588235294118,0.705882352941177
"Indonesia",2021-08-05,-6.32352941176471,25.3529411764706,-7.73529411764706,-33.0588235294118,-25.7647058823529,5.52941176470588
"Ireland",2020-02-15,-9.33333333333333,-5.73333333333333,-33.6,-13.6666666666667,-3.2,2.86666666666667
"Ireland",2021-08-05,3.18181818181818,18.3636363636364,52.9090909090909,-27.8181818181818,-40.4545454545455,8.27272727272727
"Israel",2020-02-15,14.5789473684211,8.21052631578947,60.8947368421053,14.1578947368421,1.31578947368421,-2.36842105263158
"Israel",2021-08-05,8.95,19.3,60.05,-8.65,-26.1,4.25
"India",2020-02-15,2.59966216216216,2.58108108108108,4.45945945945946,5.36655405405405,5.5777027027027,-0.837837837837838
"India",2021-08-05,-5.84948096885813,42.022491349481,4.39965397923875,-1.41349480968858,-6.22837370242215,11.6955017301038
"Iraq",2020-02-15,16,13,13,19,14,0
"Iraq",2021-08-05,56,126,42,56,-2,-5
"Italy",2020-02-15,2.14173228346457,-1.5511811023622,31.2204724409449,7.20472440944882,0.102362204724409,-1.03149606299213
"Italy",2021-08-05,25.3688524590164,33.5901639344262,201.434426229508,13.7868852459016,-22.9918032786885,0.688524590163934
"Jamaica",2020-02-15,-1.6,-0.2,-3.2,1.4,3.4,0.8
"Jamaica",2021-08-05,5.5,29,5,9,-30.5,1.5
"Jordan",2020-02-15,3.5,4.25,30.75,1,0,-1.5
"Jordan",2021-08-05,15.4,45.4,15.4,-14,-6.6,0.4
"Japan",2020-02-15,-0.791666666666667,3.27083333333333,6.125,-1.41666666666667,4.27083333333333,0.0833333333333333
"Japan",2021-08-05,-5.47916666666667,9.41666666666667,3.85416666666667,-17.6041666666667,-10.6458333333333,5.125
"Kenya",2020-02-15,2.85714285714286,1.71428571428571,11.6428571428571,5.21428571428571,2.57142857142857,-0.642857142857143
"Kenya",2021-08-05,39.6428571428571,35.6428571428571,18.7142857142857,41.6428571428571,18.3571428571429,5.85714285714286
"Kyrgyzstan",2020-02-15,4.4,4,1.8,-0.2,10.2,-1.8
"Kyrgyzstan",2021-08-05,-13.75,-8.25,-8.25,-4.25,-45,-10.5
"Cambodia",2020-02-15,0.333333333333333,0.333333333333333,-4.16666666666667,-4.83333333333333,5.5,0.5
"Cambodia",2021-08-05,-25.7142857142857,-28.1428571428571,-34.8571428571429,-46.5714285714286,-32.8571428571429,17.5714285714286
"South Korea",2020-02-15,-6,0,2.5,-5,1,3
"South Korea",2021-08-05,-3,20,43.5,-11.5,-16,7
"Kuwait",2020-02-15,3.5,6.375,2.375,5.375,2.25,1.375
"Kuwait",2021-08-05,-22.625,-14.875,-26.625,-16.75,-22.5,8.625
"Kazakhstan",2020-02-15,7,5,1,4,6,-1
"Kazakhstan",2021-08-05,-5,20,21,66,-35,-5
"Laos",2020-02-15,0,4,-1,-9,5,1
"Laos",2021-08-05,-12,4,-32,-41,-25,3
"Lebanon",2020-02-15,4.8,-2.4,10.4,0.8,0,-1.6
"Lebanon",2021-08-05,24.6,78.8,41.2,-14.8,-28.8,-9.2
"Liechtenstein",2020-02-15,17,4,NA,NA,NA,NA
"Liechtenstein",2021-08-05,NA,NA,NA,-41,-40,NA
"Sri Lanka",2020-02-15,3,1,5,3,3,1
"Sri Lanka",2021-08-05,-13,15,-9,-23,-30,18
"Lithuania",2020-02-15,3.15384615384615,4.69230769230769,52.2307692307692,10.0769230769231,0.769230769230769,-1.46153846153846
"Lithuania",2021-08-05,1.44444444444444,53,154.555555555556,36.3333333333333,-24.8888888888889,-0.111111111111111
"Luxembourg",2020-02-15,-2,-1,40,4,-2,-2
"Luxembourg",2021-08-05,-12,1,100,-21,-43,8
"Latvia",2020-02-15,2.5,4,-5,4.5,-2,-1
"Latvia",2021-08-05,1.5,15,105,-14,-34.5,2
"Libya",2020-02-15,4,5,9,6,5,0
"Libya",2021-08-05,73,121,118,31,8,-5
"Morocco",2020-02-15,1.25,-1.5,1.25,-2.75,5.25,0.25
"Morocco",2021-08-05,0.25,68.5,9.25,6.75,-31.75,6.75
"Moldova",2020-02-15,1,2,-4,0,-1,0
"Moldova",2021-08-05,21,26,23,11,-33,-11
"North Macedonia",2020-02-15,6,7,4,0,4,0
"North Macedonia",2021-08-05,19,43,156,5,-36,-9
"Mali",2020-02-15,1.5,-4,1,-0.5,3,1
"Mali",2021-08-05,26.5,82,139,42,-2,-11
"Myanmar (Burma)",2020-02-15,-0.666666666666667,3,0.333333333333333,-1.66666666666667,7,1.66666666666667
"Myanmar (Burma)",2021-08-05,-64.3333333333333,-40,-47,-60.3333333333333,-65,30.3333333333333
"Mongolia",2020-02-15,-7.5,3.5,-21,-4,-1,3.5
"Mongolia",2021-08-05,45,128.5,64,63.5,6.5,-3.5
"Malta",2020-02-15,6,3,21,6,3,-1
"Malta",2021-08-05,26,18,67,10,-14,2
"Mauritius",2020-02-15,3,-1,-12,1,32,1
"Mauritius",2021-08-05,2,9.33333333333333,-25.6666666666667,-30.6666666666667,-10,-4
"Mexico",2020-02-15,5.66666666666667,4.63636363636364,6.45454545454545,1,3.51515151515152,-1.21212121212121
"Mexico",2021-08-05,-2.57575757575758,24.1515151515152,-18.2424242424242,-1.09090909090909,-16.0909090909091,7.48484848484848
"Malaysia",2020-02-15,-3.70588235294118,-3.88235294117647,-0.352941176470588,-4.35294117647059,2.70588235294118,1.35294117647059
"Malaysia",2021-08-05,-39.7647058823529,2.35294117647059,-32.0588235294118,-57.4705882352941,-36.4117647058824,26.1176470588235
"Mozambique",2020-02-15,1,1.25,0.25,-1.5,1.75,-1.5
"Mozambique",2021-08-05,5.75,20,4,3.5,-4.75,1.5
"Namibia",2020-02-15,-2,-3.5,8,-6.5,0.5,3.5
"Namibia",2021-08-05,8.5,38.5,-7,-9,-6,-4.5
"Niger",2020-02-15,2.66666666666667,4.33333333333333,-7.33333333333333,1,8.33333333333333,-0.333333333333333
"Niger",2021-08-05,78,63.5,55.5,61,-11,-8
"Nigeria",2020-02-15,3.15384615384615,0.82051282051282,10,2.58974358974359,4.94871794871795,-0.435897435897436
"Nigeria",2021-08-05,28.8787878787879,36.3333333333333,8.12121212121212,23.2727272727273,1.36363636363636,11.0909090909091
"Nicaragua",2020-02-15,6.8,5.6,0.6,4.4,3.2,-0.8
"Nicaragua",2021-08-05,20.1428571428571,42.5714285714286,1.42857142857143,20.8571428571429,5,-2.85714285714286
"Netherlands",2020-02-15,0.0588235294117647,1.09803921568627,13.2352941176471,4.94117647058824,0.0784313725490196,-0.0588235294117647
"Netherlands",2021-08-05,9.12244897959184,4.6734693877551,125.224489795918,-41.7959183673469,-47.734693877551,8.38775510204082
"Norway",2020-02-15,1.76470588235294,0.882352941176471,30.0588235294118,13.0588235294118,-0.823529411764706,-0.882352941176471
"Norway",2021-08-05,8.07692307692308,10.3076923076923,161.461538461538,-19.6153846153846,-49.3076923076923,5.76923076923077
"Nepal",2020-02-15,3,4,3,2,2,0
"Nepal",2021-08-05,10,62,29,22,-9,5
"New Zealand",2020-02-15,10.8,5.2,-1.1,4.2,2.9,0.4
"New Zealand",2021-08-05,7.91666666666667,12.1666666666667,-27.0833333333333,-30.0833333333333,15.1666666666667,4.08333333333333
"Oman",2020-02-15,-2,-1.25,-1.5,-1.25,0.5,1.75
"Oman",2021-08-05,-5.75,10.25,-16.25,-22.5,-30.75,-2.25
"Panama",2020-02-15,12.5,12.5,11.5,10.5,5,-3
"Panama",2021-08-05,-17.5,8,-41,-25,-14,10.5
"Peru",2020-02-15,3.10714285714286,0.25,2.64285714285714,3.30357142857143,0.0535714285714286,-0.714285714285714
"Peru",2021-08-05,8.50877192982456,28.7543859649123,2.26315789473684,-7.92982456140351,-7.50877192982456,11.2105263157895
"Papua New Guinea",2020-02-15,9,7,-4,-3,11,-2
"Papua New Guinea",2021-08-05,44,79,-15,26,42,-1
"Philippines",2020-02-15,4.57692307692308,3,2,-0.153846153846154,6.26923076923077,-0.153846153846154
"Philippines",2021-08-05,-14.2307692307692,24.3846153846154,-6.80769230769231,-31.1153846153846,-28.7307692307692,18.4615384615385
"Pakistan",2020-02-15,2,2.84210526315789,6.89473684210526,2.94736842105263,2.52631578947368,-0.421052631578947
"Pakistan",2021-08-05,33.2777777777778,57.1666666666667,26.2222222222222,33.3333333333333,11.2222222222222,-4.05555555555556
"Poland",2020-02-15,9.2803738317757,-0.355140186915888,28.6448598130841,9.48598130841122,0.448598130841121,-0.953271028037383
"Poland",2021-08-05,19.5769230769231,20.1410256410256,85.6538461538462,4.16666666666667,-28.9102564102564,3.48717948717949
"Puerto Rico",2020-02-15,2,0.666666666666667,12.3333333333333,1.66666666666667,-1.66666666666667,-0.333333333333333
"Puerto Rico",2021-08-05,-7.25,-8.5,-19.5,-25.25,-20.75,7.75
"Portugal",2020-02-15,1.79166666666667,-1.10416666666667,21.2291666666667,8.79166666666667,1,-1.1875
"Portugal",2021-08-05,20.5789473684211,45.5526315789474,125.368421052632,1.18421052631579,-32.5263157894737,7.39473684210526
"Paraguay",2020-02-15,-3.42857142857143,-1.85714285714286,-9.28571428571429,-9.14285714285714,1.85714285714286,2.85714285714286
"Paraguay",2021-08-05,0,18.4285714285714,-8.57142857142857,-26.5714285714286,4.14285714285714,2.57142857142857
"Qatar",2020-02-15,-3,1,8,-1.5,4.5,1
"Qatar",2021-08-05,-7.5,19.5,-20.5,-0.5,-11.5,2
"Réunion",1970-01-01,0,0,0,0,0,0
"Réunion",1970-01-01,0,0,0,0,0,0
"Romania",2020-02-15,7.29577464788732,5.92957746478873,2.43661971830986,7.84507042253521,3.77464788732394,-0.943661971830986
"Romania",2021-08-05,12.0694444444444,25.8472222222222,54.6944444444444,3.68055555555556,-30.2361111111111,-2.31944444444444
"Serbia",2020-02-15,-1,-5,15.5,2.5,-11.5,-1.5
"Serbia",2021-08-05,2,18,34.5,5.5,-31,-2
"Russia",2020-02-15,9.70588235294118,8.11764705882353,1.41176470588235,8.29411764705882,-0.529411764705882,-0.352941176470588
"Russia",2021-08-05,-0.823529411764706,8.35294117647059,63.4705882352941,6.23529411764706,-32.1764705882353,-1.17647058823529
"Rwanda",2020-02-15,9.25,6.75,10,11.75,4.75,-1.75
"Rwanda",2021-08-05,-4.66666666666667,-5.33333333333333,54.6666666666667,-10,-24.6666666666667,23.3333333333333
"Saudi Arabia",2020-02-15,-4.44444444444444,-1.22222222222222,-0.222222222222222,-5.66666666666667,-0.555555555555556,1.88888888888889
"Saudi Arabia",2021-08-05,13.3,34.2,10,-13.9,-10.8,4.1
"Sweden",2020-02-15,2.25,-2.03571428571429,2,3.14285714285714,-2.14285714285714,0.392857142857143
"Sweden",2021-08-05,2.33333333333333,5.16666666666667,215.416666666667,-33.6666666666667,-58.5833333333333,7.75
"Singapore",2020-02-15,-14,-9,-10,-17,-4,8
"Singapore",2021-08-05,-35,2,-12,-30,-23,21
"Slovenia",2020-02-15,9,2.4,19.8,23.6,8.2,-3.4
"Slovenia",2021-08-05,-11.4,-4.4,27.8,-34.8,-36.6,4.6
"Slovakia",2020-02-15,12.6666666666667,6.33333333333333,43.25,12.8333333333333,3.66666666666667,-1.58333333333333
"Slovakia",2021-08-05,5.6875,21.75,31.0625,-7.375,-33.25,7
"Senegal",2020-02-15,0,1,2.5,-4,0.5,0
"Senegal",2021-08-05,9.5,49,5.5,12,-23,2
"El Salvador",2020-02-15,3.5,3.5,1.33333333333333,0,4.33333333333333,-0.833333333333333
"El Salvador",2021-08-05,24.4285714285714,49.2857142857143,18.1428571428571,7.57142857142857,-48.7142857142857,4.14285714285714
"Togo",2020-02-15,-2.5,-0.5,-7.5,-2,2,1
"Togo",2021-08-05,40,82,148,55,4.5,-3
"Thailand",2020-02-15,-3,1,-8,-2,7,1
"Thailand",2021-08-05,-28,6,-45,-61,-26,12
"Tajikistan",2020-02-15,-1,-1.5,-7.5,-8.5,15.5,0.5
"Tajikistan",2021-08-05,-11,4.5,-14.5,-32,-28.5,-0.5
"Turkey",2020-02-15,3.28,4.24888888888889,-5.97777777777778,-9.35555555555556,6.56888888888889,1.11111111111111
"Turkey",2021-08-05,23.2044198895028,56.9613259668508,86.707182320442,32.6408839779006,-11.3480662983425,-2.43646408839779
"Trinidad and Tobago",2020-02-15,4,4,23,3,2,0
"Trinidad and Tobago",2021-08-05,-14,32,-10,-34,-40,3
"Taiwan",2020-02-15,-9,-4,-2,-10,56,-1
"Taiwan",2021-08-05,-36,-2,-49,-41,-15,9
"Tanzania",2020-02-15,-1.88888888888889,-2.33333333333333,1.44444444444444,-3.88888888888889,1.33333333333333,1.11111111111111
"Tanzania",2021-08-05,38.3,32.2,62.7,25.2,-5,4.7
"Ukraine",2020-02-15,5.5,2.5,4.5,5,-0.5,0
"Ukraine",2021-08-05,-0.5,15,41,-2,-30,-3.5
"Uganda",2020-02-15,5.2,1.8,0.2,5.2,6.8,0.6
"Uganda",2021-08-05,-21.75,3.5,-9,-34,-17.5,21
"United States",2020-02-15,5.02469135802469,1.67019400352734,16.4091710758377,4.71604938271605,0.447971781305115,-0.507936507936508
"United States",2021-08-05,0.342379958246347,8.19206680584551,66.2087682672234,-8.72651356993737,-31.5365344467641,6.12108559498956
"Uruguay",2020-02-15,-0.5,-2.875,0.25,3.75,0.75,-0.375
"Uruguay",2021-08-05,-7.86666666666667,18.2,-32.9333333333333,-19.7333333333333,8.73333333333333,2.33333333333333
"Venezuela",2020-02-15,8,2,3,2,5,-1
"Venezuela",2021-08-05,7,47,15,-20,-6,7
"Vietnam",2020-02-15,-7.83050847457627,-8.13559322033898,-8.74576271186441,-11.0169491525424,-8.23728813559322,6.47457627118644
"Vietnam",2021-08-05,-56.0169491525424,-35.0169491525424,-45.2203389830508,-59.1525423728814,-38.8474576271186,4.05084745762712
"Yemen",2020-02-15,3,3,-1,4,3,1
"Yemen",2021-08-05,89,98,109,50,20,-3
"South Africa",2020-02-15,-0.666666666666667,-1.66666666666667,1.55555555555556,0.333333333333333,-0.333333333333333,-1.88888888888889
"South Africa",2021-08-05,11.4444444444444,41.2222222222222,-5.55555555555556,8.77777777777778,-5.77777777777778,14.3333333333333
"Zambia",2020-02-15,-0.5,-5,-3,-3,7,3.5
"Zambia",2021-08-05,36,58,46.5,12.5,-4.5,6
"Zimbabwe",2020-02-15,-2.75,-1.25,0,-4.75,-0.5,0.75
"Zimbabwe",2021-08-05,31.75,53.75,35.5,23,2.5,4.5
